year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned
2004,Confirmed,Enzo Baldoni,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/enzo_baldoni_iraq_2004.jpg,,Journalist,,Murder,Killed,Freelance,freelance,Print Reporter,War,Print,IRQ,an area near Najaf,,,an area near Najaf,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,
2010,Confirmed,Fabio Polenghi,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Polenghi.rtr1.jpg,Reuters,Journalist,,Dangerous Assignment,Killed,Freelance,freelance,Photographer,"Culture,War",Print,THA,Bangkok,,,Bangkok,,Foreign,,Confirmed,,,,,,,,,,,,,,,
2015,Confirmed,Fares Hamadi,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Fares-Hamadi200.jpg,(Photo courtesy of Eye on the Homeland),Journalist,,Murder,Killed,Staff,Eye on the Homeland,Producer,"Corruption,Human Rights,Politics,War","Print,Internet",TUR,Urfa,,,Urfa,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
2011,Confirmed,Farhad Taqaddosi,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,Press TV,Camera Operator,"Politics,War",Television,AFG,Kabul,,,Kabul,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
1999,Confirmed,Gabriel Gruener,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/gabriel_gruener_kosovo_1999.jpg,,Journalist,,Crossfire,Killed,Staff,Stern,Print Reporter,War,Print,YUG,Kosovo,,,Kosovo,,Foreign,Paramilitary Group,Confirmed,,,,,,,,,,,,,,,
1992,Confirmed,Gabrielle Marian Hulsen,,,,,Female,,,Journalist,,Murder,Killed,Freelance,Freelancer,"Broadcast Reporter,Print Reporter","Politics,War","Print,Television",LBN,Ghadir,,,Ghadir,,Foreign,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2009,Confirmed,Gennady Pavlyuk (Ibragim Rustambek),,,,,Male,,,Journalist,,Murder,Killed,Staff,Bely Parokhod,Editor,Corruption,Print,KAZ,Almaty,,,Almaty,,Foreign,Government Officials,Confirmed,,,Partial Impunity,No,No,No,,,,,,,,,
1992,Confirmed,Georg Friderich Pfuhl,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,FADMST,Print Reporter,War,Print,BIH,Mostar,,,Mostar,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2015,Confirmed,Gerardo Ceferino Servían,,,,,Male,,,Journalist,,Murder,Killed,Staff,Ciudad Nueva FM,Broadcast Reporter,Politics,Radio,BRA,Ponta Porã,,,Ponta Porã,,Foreign,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2013,Confirmed,Ghislaine Dupont,,,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/ghislaine.afp.jpg,AFP,Journalist,,Murder,Killed,Staff,Radio France Internationale,Broadcast Reporter,"Human Rights,Politics,War",Radio,MLI,Kidal,,,Kidal,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,
2012,Confirmed,Gilles Jacquier,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Jacquier_rtrs.jpg,Reuters,Journalist,,Dangerous Assignment,Killed,Staff,France 2,Broadcast Reporter,"Human Rights,Politics",Television,SYR,Homs,,,Homs,,Foreign,,Confirmed,,No,,,,,,,,,,,,,
1993,Confirmed,Guido Puletti,,,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Freelancer,Print Reporter,"Human Rights,War",Print,BIH,central BIH,,,central BIH,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
1993,Confirmed,Hansi Krauss,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Krauss.Somalia.1993.1.jpg,AP,Journalist,,Murder,Killed,Staff,Associated Press,Photographer,War,Print,SOM,Mogadishu,,,Mogadishu,,Foreign,Mob Violence,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2001,Confirmed,Harry Burton,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/harry_burton_afghanistan_2001.jpg,,Journalist,,Murder,Killed,Staff,Reuters Television,Camera Operator,War,Television,AFG,Nangarhar Province,,,Nangarhar Province,Nangarhar Province,Foreign,Paramilitary Group,Confirmed,,,Full Justice,No,Yes,No,,,,,,,,,
2010,Confirmed,Hiro Muramoto,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Thai.Muramoto.4.12.110.jpg,Reuters,Journalist,,Dangerous Assignment,Killed,Staff,Reuters,Camera Operator,Politics,"Television,Internet",THA,Bangkok,,,Bangkok,,Foreign,,Confirmed,,,,,,,,,,,,,,,
1993,Confirmed,Hosea Maina,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Mainia.Somalia.1.1993.jpg,Reuters,Journalist,,Murder,Killed,Staff,Reuters,Photographer,War,Print,SOM,Mogadishu,,,Mogadishu,,Foreign,Mob Violence,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2015,Confirmed,Ibrahim Abd al-Qader,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Ibrahim-Abd-al-Qader200.jpg,(Photo courtesy of Eye on the Homeland),Journalist,,Murder,Killed,Staff,"Eye on the Homeland, Raqqa is Being Slaughtered Silently",Editor,"Corruption,Human Rights,Politics,War","Print,Internet",TUR,Urfa,,,Urfa,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
1993,Confirmed,Ibrahim Goskel,,,,,Male,,,Journalist,,Dangerous Assignment,Killed,Freelance,Freelancer,Print Reporter,War,Print,BIH,Sarajevo,,,Sarajevo,,Foreign,,Confirmed,,,,,,,,,,,,,,,
2014,Confirmed,Igor Kornelyuk,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,VGTRK,Broadcast Reporter,War,Television,UKR,Metallist,,,Metallist,,Foreign,,Confirmed,,,,,,,,,,,,,,,
1999,Confirmed,Ilan Roeh,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/ilan_roeh_lebanon_1999.jpg,,Journalist,,Crossfire,Killed,Staff,Israel Radio,Broadcast Reporter,War,Radio,LBN,southern Lebanon,,,southern Lebanon,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
1994,Confirmed,Ilaria Alpi,,,,,Female,,,Journalist,,Murder,Killed,Staff,RAI-3 Television,Broadcast Reporter,,Television,SOM,Mogadishu,,,Mogadishu,,Foreign,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
1992,Confirmed,Ivo Standeker,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,Mladina,Print Reporter,War,Print,BIH,Sarajevo,,,Sarajevo,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2006,Confirmed,James Brolan,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/james_brolan_iraq_2006.jpg,CBS,Journalist,,Crossfire,Killed,Staff,CBS,Technician,War,Television,IRQ,Baghdad,,,Baghdad,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2014,Confirmed,James Foley,,USA,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/foley.ap.jpg,AP,Journalist,,Murder,Killed,Freelance,Freelance,"Photographer,Internet Reporter","Human Rights,War",Internet,SYR,Unknown,,,Unknown,,Foreign,Political Group,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,
2003,Confirmed,James Miller,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/james_miller_israel_2003.jpg,,Journalist,,Crossfire,Killed,Freelance,freelance,Camera Operator,"Human Rights,War",Television,ISR,Rafah,,,Rafah,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2010,Confirmed,James P. Hunter,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Hunter.Afghan.07.09.10.jpg,U.S. Army,Journalist,,Crossfire,Killed,Staff,"Fort Campbell Courier, U.S. military publications","Photographer,Print Reporter",War,Print,AFG,Kandahar,,,Kandahar,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2009,Confirmed,Janullah Hashimzada,,,,,Male,,,Journalist,,Murder,Killed,Freelance,freelance,Broadcast Reporter,"Politics,War",Television,PAK,Jamrud,,,Jamrud,,Foreign,Military Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
2003,Confirmed,Jean Hélène,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/jean_h%25C3%25A9l%25C3%25A8ne_ivorycoast_2003.jpg,,Journalist,,Murder,Killed,Staff,Radio France Internationale,Broadcast Reporter,Human Rights,Radio,CIV,Abidjan,,,Abidjan,,Foreign,Military Officials,Confirmed,,,Full Justice,No,No,No,,,,,,,,,
1993,Confirmed,Jean-Claude Jumel,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,TF-1,Technician,War,Television,SOM,Mogadishu,,,Mogadishu,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2003,Confirmed,Jeremy Little,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/jeremy_little_iraq_2003.jpg,,Journalist,,Crossfire,Killed,Freelance,NBC News,Technician,War,Television,IRQ,Fallujah,,,Fallujah,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2016,Confirmed,Jeroen Oerlemans ,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Oerlemans-3-Cap.jpg,Stanislav Krupar,Journalist,,Crossfire,Killed,Freelance,Freelance,Photographer,"Politics,War","Print,Internet",LBY,Sirte,,,Sirte,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
1995,Confirmed,Jochen Piest,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,Stern,Print Reporter,War,Print,RUS,Chervlyonna,,,Chervlyonna,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2001,Confirmed,Johanne Sutton,,,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/johanne_sutton_afghanistan_2001.jpg,,Journalist,,Crossfire,Killed,Staff,Radio France Internationale,Broadcast Reporter,War,Radio,AFG,Takhar Province,,,Takhar Province,Takhar Province,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
1995,Confirmed,John Schofield,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Schofield.HRV.1995.1.jpg,BBC,Journalist,,Crossfire,Killed,Staff,BBC,Broadcast Reporter,War,Radio,HRV,Virginmost,,,Virginmost,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
1992,Confirmed,Jordi Pujol,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,Avui,Photographer,War,Print,BIH,Sarajevo,,,Sarajevo,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2003,Confirmed,José Couso,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/jose_couso_iraq_2003.jpg,,Journalist,,Crossfire,Killed,Staff,Telecinco,Camera Operator,War,Television,IRQ,Baghdad,,,Baghdad,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2018,Confirmed,Juan Javier Ortega Reyes,,Ecuador,,,Male,https://cpj-photos.s3.amazonaws.com/Ec_Ortega1-2018-05-01-1525211691191.jpg,Ortega Family,Journalist,Killed,Murder,Killed,Staff,El Comercio,Print Reporter,"Corruption,Crime,Politics,Human Rights",Print,COL,,,,,,Foreign,Political Group,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,
2003,Confirmed,Julio Anguita Parrado,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/julio_anguita_parrado_iraq_2003.jpg,,Journalist,,Crossfire,Killed,Staff,El Mundo,Print Reporter,War,Print,IRQ,outside Baghdad,,,outside Baghdad,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2001,Confirmed,Julio Fuentes,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/julio_fuentes_afghanistan_2001.jpg,,Journalist,,Murder,Killed,Staff,El Mundo,Print Reporter,War,Print,AFG,Nangarhar Province,,,Nangarhar Province,Nangarhar Province,Foreign,Paramilitary Group,Confirmed,,,Full Justice,No,Yes,No,,,,,,,,,
2006,Confirmed,Karen Fischer,,,,,Female,,,Journalist,,Murder,Killed,Freelance,freelance,Broadcast Reporter,"Politics,War",Radio,AFG,Baghlan,,,Baghlan,,Foreign,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2005,Confirmed,Kate Peyton,,,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/Peyton.2005.somalia1.jpg,BBC,Journalist,,Murder,Killed,Staff,BBC,Producer,"Politics,War",Television,SOM,Mogadishu,,,Mogadishu,,Foreign,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
