year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned
2003,Confirmed,Mazen Dana,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/mazen_dana_iraq_2003.jpg,,Journalist,,Crossfire,Killed,Staff,Reuters,Camera Operator,War,Television,IRQ,outside Baghdad,,,outside Baghdad,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2003,Confirmed,Michael Kelly,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/michael_kelly_iraq_2003.jpg,,Journalist,,Crossfire,Killed,Staff,Atlantic Monthly and The Washington Post,"Columnist/Commentator,Editor",War,Print,IRQ,outside of Baghdad,,,outside of Baghdad,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2009,Confirmed,Michelle Lang,,,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/Afghan.Lang.2.rtr.jpg,Reuters,Journalist,,Crossfire,Killed,Staff,Calgary Herald and Canwest News Service,Print Reporter,War,Print,AFG,an area south of Kandahar,,,an area south of Kandahar,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2013,Confirmed,Mick Deane,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/mick.deane.egypt.skynews.youtube.slideshow.headshot.jpg,,Journalist,,Dangerous Assignment,Killed,Staff,Sky News,Camera Operator,"Human Rights,Politics,War",Television,EGY,Cairo,,,Cairo,,Foreign,"Military Officials, Political Group",Confirmed,,,,,,,,,,,,,,,
2000,Confirmed,Miguel Gil Moreno de Mora,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Gil.Sierra.Leone.2000.1.jpg,AP,Journalist,,Crossfire,Killed,Staff,The Associated Press,Camera Operator,War,Television,SLE,Rogberi Junction,,,Rogberi Junction,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2012,Confirmed,Mika Yamamoto,,,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/yamamoto.killed.pic.jpg,,Journalist,,Crossfire,Killed,Staff,Japan Press,"Camera Operator,Photographer",War,"Television,Internet",SYR,Aleppo,,,Aleppo,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
1994,Confirmed,Miran Krovatin,,,,,Male,,,Journalist,,Murder,Killed,Staff,RAI-3 Television,Camera Operator,,Television,SOM,Mogadishu,,,Mogadishu,,Foreign,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
1994,Confirmed,Mohammed Hussein Navab,,,,,Male,,,Journalist,,Murder,Killed,Staff,Keyhan,Print Reporter,War,Print,BIH,Mostar,,,Mostar,,Foreign,Paramilitary Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,
2016,Confirmed,Mohsen Khazaei,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/MohsenKhazaei-Syria-Killed-IRIBscrnsht225.jpg,"Screenshot, IRIB News Agency video",Journalist,,Crossfire,Killed,Staff,Islamic Republic of Iran Broadcasting,Broadcast Reporter,War,Television,SYR,Aleppo,,,Aleppo,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
1999,Confirmed,Myles Tierney,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/myles_tierney_sierra-leone_1999.jpg,,Journalist,,Crossfire,Killed,Staff,Associated Press Television News,Producer,War,Television,SLE,Freetown,,,Freetown,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2015,Confirmed,Naji Jerf,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Naji-Jerf450.jpg,AFP,Journalist,,Murder,Killed,Staff,"Hentah, Raqqa is Being Slaughtered Silently","Editor,Producer","Human Rights,Politics",Internet,TUR,Gaziantep,,,Gaziantep,,Foreign,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,
2007,Confirmed,Namir Noor-Eldeen,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/namir_noor-eldeen_iraq_2007.jpg,Reuters,Journalist,,Crossfire,Killed,Staff,Reuters,Photographer,War,Print,IRQ,Baghdad,,,Baghdad,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
1995,Confirmed,Natalya Alyakina,,,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/alyakina-RUS.95.CJES-thumb-180x247-783.jpg,,Journalist,,Crossfire,Killed,Staff,Focus and RUFA,"Broadcast Reporter,Print Reporter",War,"Print,Radio",RUS,Budyonnovsk,,,Budyonnovsk,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2014,Confirmed,Nils Horner,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/nilshorner.ap.jpg,AP,Journalist,,Dangerous Assignment,Killed,Staff,Sveriges Radio,Broadcast Reporter,"Politics,War",Radio,AFG,Kabul,,,Kabul,,Foreign,,Confirmed,,,,,,,,,,,,,,,
2011,Confirmed,Noramfaizul Mohd,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Mohd.Bernama.kill.jpg,Bernama TV,Journalist,,Dangerous Assignment,Killed,Staff,Bernama TV,Camera Operator,"Human Rights,War",Television,SOM,Mogadishu,,,Mogadishu,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
1994,Confirmed,Olivier Quemener,,,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelancer,Camera Operator,War,Television,DZA,Algiers,,,Algiers,,Foreign,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2013,Confirmed,Olivier Voisin,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/oliviervoisin.afpcropped.jpg,,Journalist,,Crossfire,Killed,Freelance,Freelance,Photographer,"Human Rights,Politics,War","Print,Internet",SYR,Idlib province,,,Idlib province,Idlib province,Foreign,,Confirmed,,,,,,,,,,,,,,,
2018,Confirmed,Orkhan Dzhemal,,RUS,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/DzhemalCap.jpg_7e06d129-3de8-495b-9e28-ae6a5240cc04.jpeg,A screen shot of Dzhemal speaking on Radio Svoboda.,Journalist,Killed,Dangerous Assignment,Killed,Freelance,The Investigations Management Centre (TsUR),Broadcast Reporter,"Business,Crime,Corruption,Human Rights,Politics,War",Television,CAF,Kémo,,,,Kémo,Foreign,"Criminal Group,Local Residents,Military Officials,Paramilitary Group,Political Group",Confirmed,,No,,,,,,,,,,,,,
2006,Confirmed,Paul Douglas,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/paul_douglas_iraq_2006.jpg,CBS,Journalist,,Crossfire,Killed,Staff,CBS,Camera Operator,War,Television,IRQ,Baghdad,,,Baghdad,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
1992,Confirmed,Paul Jenks,,,,,Male,,,Journalist,,Crossfire,Killed,Freelance,European Pressphoto Agency,Photographer,War,Print,HRV,near Osijek,,,near Osijek,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2004,Confirmed,Paul Klebnikov,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Klebnikov.RUS.2004.1.jpg,AP,Journalist,,Murder,Killed,Staff,Forbes RUS,Editor,"Business,Corruption,Crime",Print,RUS,Moscow,,,Moscow,,Foreign,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2003,Confirmed,Paul Moran,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/paul_moran_iraq_2003.jpg,,Journalist,,Crossfire,Killed,Freelance,freelance,Camera Operator,War,Television,IRQ,Gerdigo,,,Gerdigo,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2018,Confirmed,Paúl Rivas Bravo,,Ecuador,,,Male,https://cpj-photos.s3.amazonaws.com/Ec_Rivas1-2018-05-01-1525211993321.jpg,Rivas Family,Journalist,Killed,Murder,Killed,Staff,El Comercio,Photographer,"Culture,Human Rights,Politics,Sports",Print,COL,,,,,,Foreign,Political Group,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,
2016,Confirmed,Pavel Sheremet,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/07202016UkrainePavelSheremetAPSergeiChusavkov250.jpg,Sergei Chusavkov/AP,Journalist,,Murder,Killed,Staff,"Ukrainska Pravda, Radio Vesti","Broadcast Reporter,Internet Reporter","Corruption,Crime,Politics","Radio,Internet",UKR,Kiev,,,Kiev,,Foreign,,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
1992,Confirmed,Per-Ove Carlsson,,,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelancer,Producer,"Politics,War",Television,PNG,Kiunga,,,Kiunga,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
1998,Confirmed,Philip True,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Philip%252520True_1998_Mexico1.jpg,San Antonio Express-News,Journalist,,Murder,Killed,Staff,San Antonio Express-News,Print Reporter,Culture,Print,MEX,Jalisco,,,Jalisco,,Foreign,Local Residents,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
1994,Confirmed,Pierre Anceaux,,,,,Male,,,Journalist,,Murder,Killed,Freelance,freelance,Broadcast Reporter,Human Rights,Television,SOM,Baidoa,,,Baidoa,,Foreign,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2001,Confirmed,Pierre Billaud,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/pierre_billaud_afghanistan_2001.jpg,,Journalist,,Crossfire,Killed,Staff,Radio Télévision Luxembourg,Broadcast Reporter,War,Radio,AFG,Takhar Province,,,Takhar Province,Takhar Province,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2002,Confirmed,Raffaele Ciriello,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/raffaele_ciriello_pakistan_2002.jpg,,Journalist,,Crossfire,Killed,Freelance,Freelancer,Photographer,War,Print,ISR,Ramallah,,,Ramallah,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2012,Confirmed,Rémi Ochlik,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Ochlik.afp.jpg,AFP,Journalist,,Murder,Killed,Freelance,Freelance,Photographer,"Human Rights,War",Print,SYR,Homs,,,Homs,,Foreign,Military Officials,Confirmed,No,,Complete Impunity,No,No,No,,,,,,,,,
2003,Confirmed,Richard Wild,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/richard_wild_iraq_2003.jpg,,Journalist,,Murder,Killed,Freelance,freelance,Camera Operator,War,Television,IRQ,Baghdad,,,Baghdad,,Foreign,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2002,Confirmed,Roddy Scott,,,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Frontline,"Broadcast Reporter,Camera Operator",War,Television,RUS,"Galashki Region, Ingushetia","Galashki Region, Ingushetia",,"Galashki Region, Ingushetia",,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
1993,Confirmed,Rory Peck,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Peck.RUS.1993.1.jpg,AP,Journalist,,Dangerous Assignment,Killed,Staff,ARD Television Company,Camera Operator,Politics,Television,RUS,Moscow,,,Moscow,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2010,Confirmed,Rupert Hamer,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,Sunday Mirror,Print Reporter,War,Print,AFG,an area near Nawa,,,an area near Nawa,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2007,Confirmed,Salih Saif Aldin,,,,,Male,,,Journalist,,Murder,Killed,Staff,The Washington Post,Print Reporter,"Politics,War",Print,IRQ,Baghdad,,,Baghdad,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
1999,Confirmed,Sander Thoenes,,Netherlands,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/sander_thoenes_east-timor_1999.jpg,,Journalist,,Murder,Killed,Freelance,Freelancer,Print Reporter,War,Print,TLS,Dili,,,Dili,,Foreign,Military Officials,Confirmed,,,Complete Impunity,Yes,No,No,,,,,,,,,
1999,Confirmed,Shao Yunhuan,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/shao_yunhuan_yugoslavia_1999.jpg,,Journalist,,Crossfire,Killed,Staff,Xinhua News Agency,Print Reporter,War,Print,YUG,Belgrade,,,Belgrade,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2004,Confirmed,Shinsuke Hashida,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/shinsuke_hashida_iraq_2004.jpg,,Journalist,,Crossfire,Killed,Freelance,freelance,Print Reporter,War,Print,IRQ,near Mahmoudiya,,,near Mahmoudiya,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2004,Confirmed,Simon Cumbers,,,,,Male,,,Journalist,,Murder,Killed,Freelance,BBC,Camera Operator,Politics,Television,SAU,Al-Suwaidi,,,Al-Suwaidi,,Foreign,Political Group,Confirmed,,,Partial Impunity,No,No,No,,,,,,,,,
2014,Confirmed,Simone Camilli,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,The Associated Press,"Camera Operator,Photographer","Politics,War","Television,Internet",ISR,"Beit Lahiya, Gaza",,,"Beit Lahiya, Gaza",,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2008,Confirmed,Stan Storimans,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Stan.Storimans.2.Georgia.2008.1.jpg,AFP,Journalist,,Crossfire,Killed,Staff,RTL Nieuws,Camera Operator,War,Television,GEO,Gori,,,Gori,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2010,Confirmed,Stanislas Ocloo,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Ocloo.01.13.10.jpg,Ocloo family,Journalist,,Dangerous Assignment,Killed,Freelance,Télévision Togolaise,"Broadcast Reporter,Columnist/Commentator",Sports,Television,AGO,Cabinda province,,,Cabinda province,Cabinda province,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2017,Confirmed,Stephan Villeneuve,,France,,,Male,,,Journalist,Killed,Crossfire,Killed,Freelance,#5BisProduction,Camera Operator,War,"Television,Internet",IRQ,Mosul,,,Mosul,,Foreign,Political Group,Confirmed,No,,,,,,,,,,,,,,
2014,Confirmed,Steven Sotloff,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Steven-Sotloff200.jpg,Getty,Journalist,,Murder,Killed,Freelance,Freelance,"Internet Reporter,Print Reporter","Human Rights,Politics,War","Print,Internet",SYR,Unknown,,,Unknown,,Foreign,Political Group,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,
2005,Confirmed,Steven Vincent,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/steven_vincent_iraq_2005.jpg,,Journalist,,Murder,Killed,Freelance,freelance,Print Reporter,"Corruption,Crime,War",Print,IRQ,Basra,,,Basra,,Foreign,Criminal Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,
1998,Confirmed,Tara Singh Hayer,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Tara%252520Singh%252520Hayer_1998_Canada.1.jpg,Indo-Canadian Times,Journalist,,Murder,Killed,Staff,Indo-Canadian Times,Editor,Politics,Print,CAN,Vancouver,,,Vancouver,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
2003,Confirmed,Tareq Ayyoub,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/tareq_ayyoub_iraq_2003.jpg,,Journalist,,Crossfire,Killed,Staff,Al-Jazeera,Broadcast Reporter,War,Television,IRQ,Baghdad,,,Baghdad,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
1993,Confirmed,Tasar Omer,,,,,Male,,,Journalist,,Dangerous Assignment,Killed,Freelance,Freelance,Print Reporter,War,Print,BIH,Sarajevo,,,Sarajevo,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2003,Confirmed,Terry Lloyd,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/terry_lloyd_iraq_2003.jpg,,Journalist,,Crossfire,Killed,Staff,ITV News,Broadcast Reporter,War,Television,IRQ,near Al-Zubayr,,,near Al-Zubayr,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2011,Confirmed,Tim Hetherington,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/tim%252520hetherington.rtr.jpg,Reuters,Journalist,,Crossfire,Killed,Freelance,Freelance,Photographer,War,"Print,Television",LBY,Misurata,,,Misurata,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2007,Confirmed,Tito Alberto Palma,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/tito_alberto_palma_paraguay_2007.jpg,,Journalist,,Murder,Killed,Staff,Radio Mayor Otaño and Radio Chaco Boreal,Broadcast Reporter,"Corruption,Crime",Radio,PRY,Mayor Otaño,,,Mayor Otaño,,Foreign,,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
2001,Confirmed,Ulf Strömberg,,,,,Male,,,Journalist,,Murder,Killed,Staff,TV4,Camera Operator,War,Television,AFG,Taloqan,,,Taloqan,,Foreign,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2017,Confirmed,Veronique Robert,,France,Switzerland,,Female,,,Journalist,Killed,Crossfire,Killed,Staff,#5BisProduction,"Camera Operator,Photographer","War,Human Rights","Television,Internet",IRQ,Mosul,,,Mosul,,Foreign,Political Group,Confirmed,No,,,,,,,,,,,,,,
1995,Confirmed,Vincent Francis,,,,,Male,,,Journalist,,Murder,Killed,Staff,Worldwide Television News (WTN),"Broadcast Reporter,Editor","Culture,Politics",Television,BDI,near Bujumbura,,,near Bujumbura,,Foreign,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2001,Confirmed,Volker Handloik,,,,,Male,,,Journalist,,Crossfire,Killed,Freelance,freelance reporter,Print Reporter,War,Print,AFG,Takhar Province,,,Takhar Province,Takhar Province,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
1999,Confirmed,Volker Kraemer,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/volker_kraemer_kosovo_1999.jpg,,Journalist,,Crossfire,Killed,Staff,Stern,Photographer,War,Print,YUG,Kosovo,,,Kosovo,,Foreign,Paramilitary Group,Confirmed,,,,,,,,,,,,,,,
2004,Confirmed,Waldemar Milewicz,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/waldemar_milewicz_iraq_2004.jpg,,Journalist,,Crossfire,Killed,Staff,TVP,Broadcast Reporter,War,Television,IRQ,Mahmoudiya,,,Mahmoudiya,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2001,Confirmed,William Biggart,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Biggart.US.2001.1.jpg,Photo Tom McKitterick,Journalist,,Dangerous Assignment,Killed,Freelance,freelance,Photographer,Crime,Print,USA,New York City,,,New York City,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
1999,Confirmed,Xu Xinghu,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,The Guangming Daily,Print Reporter,War,Print,YUG,Belgrade,,,Belgrade,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2013,Confirmed,Yasser Faisal al-Jumaili,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Yasser-Faisal-al-Jumaili-cropped200.jpg,Reuters,Journalist,,Murder,Killed,Freelance,Freelance,Camera Operator,"Politics,War",Television,SYR,Idlib,,,Idlib,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,
2013,Confirmed,Yves Debay,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/yvesdebay.afp.cropped.cap.jpg,,Journalist,,Crossfire,Killed,Staff,Assault,Internet Reporter,War,Internet,SYR,Aleppo,,,Aleppo,,Foreign,,Confirmed,,,,,,,,,,,,,,,
2016,Confirmed,Zaher al-Shurqat,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Zaher-al-Shurqat200.jpg,AP,Journalist,,Murder,Killed,Staff,Aleppo Today,Broadcast Reporter,War,Internet,TUR,Gaziantep,,,Gaziantep,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
2003,Confirmed,Zahra Kazemi,,,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/zahra_kazemi_iran_2003.jpg,,Journalist,,Murder,Killed,Freelance,freelance,Photographer,Human Rights,Print,Iran,Tehran,,,Tehran,,Foreign,Government Officials,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,
1999,Confirmed,Zhu Ying,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,The Guangming Daily,Print Reporter,War,Print,YUG,Belgrade,,,Belgrade,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
